Date,Confirmed
1/30/2020,1
1/31/2020,1
2/1/2020,2
2/2/2020,3
2/3/2020,5
2/3/2020,3
2/4/2020,3
2/5/2020,3
2/6/2020,3
2/7/2020,3
2/8/2020,3
2/9/2020,3
2/10/2020,3
2/11/2020,3
2/12/2020,3
2/13/2020,3
2/14/2020,3
2/15/2020,3
2/16/2020,3
2/17/2020,3
2/18/2020,3
2/19/2020,3
2/20/2020,3
2/21/2020,3
2/22/2020,3
2/23/2020,3
2/24/2020,3
2/25/2020,3
2/26/2020,3
2/27/2020,3
2/28/2020,3
2/29/2020,3
3/3/2020,6
3/4/2020,28
3/5/2020,30
3/6/2020,31
3/7/2020,34
3/8/2020,39
3/9/2020,46
3/10/2020,58
3/11/2020,60
3/12/2020,74
3/13/2020,81
3/14/2020,84
3/15/2020,110
3/16/2020,114
3/17/2020,137
3/18/2020,151
3/19/2020,173
3/20/2020,223
3/21/2020,283
3/22/2020,360
3/23/2020,433
3/24/2020,519
3/25/2020,606
3/26/2020,694
3/27/2020,724
3/28/2020,909
3/29/2020,1024
3/30/2020,1251
3/31/2020,1397
4/1/2020,1834
4/2/2020,2069
4/3/2020,2547
4/4/2020,3072
4/5/2020,3577
4/6/2020,4281
4/7/2020,4789
4/8/2020,5274
4/9/2020,5865
4/10/2020,6761
4/11/2020,7529
4/12/2020,8447
4/13/2020,9352
4/14/2020,10815
4/15/2020,11933
4/16/2020,12759
4/17/2020,13835
4/18/2020,14792
4/19/2020,16116
4/20/2020,17656
4/21/2020,18985
4/22/2020,20471
4/23/2020,21700
4/24/2020,23452
4/25/2020,24893
4/26/2020,26605
4/27/2020,28160
4/28/2020,29834
4/29/2020,31709
4/30/2020,33330
5/1/2020,34972
5/2/2020,37157
5/3/2020,40124
5/4/2020,42836
5/5/2020,46711
5/6/2020,49391
5/7/2020,52952
5/8/2020,56342
5/9/2020,59662
5/10/2020,62939
5/11/2020,67152
5/12/2020,70756
5/13/2020,74281
14 May 2020,78003
5/15/2020,81970
5/16/2020,85710
5/17/2020,90637
5/18/2020,95759
5/19/2020,100325
5/20/2020,106750
